Saved checkpoint: checkpoints_lunarlander/ckpt_1310720.pth
Steps: 1327104/2000000, elapsed: 2498.3s, recent_avg_return: 77.24
Steps: 1343488/2000000, elapsed: 2528.8s, recent_avg_return: 100.09
Steps: 1359872/2000000, elapsed: 2557.7s, recent_avg_return: 117.43
Steps: 1376256/2000000, elapsed: 2588.4s, recent_avg_return: 108.30
Steps: 1392640/2000000, elapsed: 2619.7s, recent_avg_return: 141.30
Steps: 1409024/2000000, elapsed: 2652.5s, recent_avg_return: 170.96
Steps: 1425408/2000000, elapsed: 2682.4s, recent_avg_return: 143.58
Steps: 1441792/2000000, elapsed: 2713.3s, recent_avg_return: 153.20
Steps: 1458176/2000000, elapsed: 2743.5s, recent_avg_return: 158.57
Steps: 1474560/2000000, elapsed: 2774.9s, recent_avg_return: 151.53
Saved checkpoint: checkpoints_lunarlander/ckpt_1474560.pth
Steps: 1490944/2000000, elapsed: 2806.4s, recent_avg_return: 171.78
Steps: 1507328/2000000, elapsed: 2838.4s, recent_avg_return: 173.94
Steps: 1523712/2000000, elapsed: 2869.8s, recent_avg_return: 164.37
Steps: 1540096/2000000, elapsed: 2901.3s, recent_avg_return: 152.66
Steps: 1556480/2000000, elapsed: 2933.6s, recent_avg_return: 164.88
Steps: 1572864/2000000, elapsed: 2964.1s, recent_avg_return: 133.32
Steps: 1589248/2000000, elapsed: 2995.0s, recent_avg_return: 163.50
Steps: 1605632/2000000, elapsed: 3026.5s, recent_avg_return: 187.59
Steps: 1622016/2000000, elapsed: 3056.5s, recent_avg_return: 177.05
Steps: 1638400/2000000, elapsed: 3087.9s, recent_avg_return: 183.91
Saved checkpoint: checkpoints_lunarlander/ckpt_1638400.pth
Steps: 1654784/2000000, elapsed: 3118.6s, recent_avg_return: 149.23
Steps: 1671168/2000000, elapsed: 3147.6s, recent_avg_return: 143.27
Steps: 1687552/2000000, elapsed: 3177.8s, recent_avg_return: 176.44
Steps: 1703936/2000000, elapsed: 3208.2s, recent_avg_return: 146.54
Steps: 1720320/2000000, elapsed: 3240.7s, recent_avg_return: 121.65
Steps: 1736704/2000000, elapsed: 3270.9s, recent_avg_return: 141.82
Steps: 1753088/2000000, elapsed: 3299.3s, recent_avg_return: 128.56
Steps: 1769472/2000000, elapsed: 3329.8s, recent_avg_return: 167.61
Steps: 1785856/2000000, elapsed: 3360.1s, recent_avg_return: 186.30
Steps: 1802240/2000000, elapsed: 3390.4s, recent_avg_return: 186.26
Saved checkpoint: checkpoints_lunarlander/ckpt_1802240.pth
Steps: 1818624/2000000, elapsed: 3420.4s, recent_avg_return: 177.63
Steps: 1835008/2000000, elapsed: 3451.4s, recent_avg_return: 156.80
Steps: 1851392/2000000, elapsed: 3483.4s, recent_avg_return: 112.06
Steps: 1867776/2000000, elapsed: 3513.9s, recent_avg_return: 151.50
Steps: 1884160/2000000, elapsed: 3545.9s, recent_avg_return: 154.43
